word	synonyms
note	memo,annotation,record,tone,mark
grade	mark,score,rank
mark	grade,score,sign,stain
bill	invoice,bill,beak,note
tent	shelter,canvas,marquee
attempt	try,effort,endeavor
try	attempt,test,effort
tint	shade,hue,tinge,tone,color
shade	tint,hue,shadow,tone
hue	shade,tint,color,tone
hunger	starvation,appetite,famine
end	finish,close,conclusion,terminus
sea	ocean,deep,brine
ocean	sea,deep
mother	mom,mum,mama,parent
father	dad,papa,parent
glass	cup,tumbler,pane
green	verdant,emerald
wolf	beast,predator
night	evening,dark,nighttime
moon	luna,satellite
sky	heaven,firmament,blue
heaven	sky,paradise
blood	gore,lifeblood
time	era,period,occasion,moment
weather	climate,conditions
jump	leap,hop,bound,spring
leap	jump,bound,vault
bucket	pail,tub
pail	bucket
fool	idiot,silly,jester
faith	belief,trust,creed
liver	organ
bread	loaf,food
wine	vino
peer	equal,noble,colleague
pair	couple,duo,brace
song	tune,melody,chant
field	meadow,pasture,plain
people	folk,persons,crowd
angel	seraph,cherub,spirit
honey	nectar,sweet
salt	saline,sodium
saddle	seat
neck	throat,nape
blow	strike,hit,knock,punch
cost	price,expense,charge
price	cost,value,charge,prize
bridge	span,crossing
name	title,label,moniker
tuna	fish
year	annum
white	pale,ivory,snow
tooth	fang,tusk
milk	dairy
ugly	hideous,unsightly
aunt	auntie
cap	hat,bonnet,toque
hat	cap,bonnet
tomb	grave,sepulchre,crypt
grave	tomb,sepulchre
worm	grub,maggot
verse	stanza,poem,line
mayor	burgomaster
twenty	score
hundred	century
clear	clean,plain,sharp,limpid
clean	clear,pure,spotless
shearing	clipping,mowing
mowing	cutting,shearing
